ID spoje,Počáteční datum,Koncové datum,1,2,3,4,5,6,7,8
58696,11.5.2011 22:39:00,11.5.2011 6:20:00,0,1005,18,12,1,1,0,
58697,11.5.2011 6:53:00,11.5.2011 6:43:00,0,1005,11,20,1,2,0,
58698,11.5.2011 19:50:00,11.5.2011 6:54:00,0,1005,11,20,1,2,0,
58699,11.5.2011 20:05:00,11.5.2011 19:53:00,0,1005,11,20,1,2,0,
58700,11.5.2011 19:07:00,11.5.2011 6:00:00,0,1005,17,12,1,3,0,
58701,11.5.2011 19:22:00,11.5.2011 19:10:00,0,1005,17,12,1,3,0,
58702,11.5.2011 21:08:00,11.5.2011 6:00:00,0,1005,17,12,1,4,0,
58703,11.5.2011 21:23:00,11.5.2011 9:29:00,0,1005,17,12,1,4,0,
58704,11.5.2011 13:25:00,11.5.2011 13:12:00,0,1005,17,12,1,4,0,
58705,11.5.2011 20:10:00,11.5.2011 6:01:00,0,1005,11,20,1,5,0,
58706,11.5.2011 20:25:00,11.5.2011 20:13:00,0,1005,11,20,1,5,0,
58707,11.5.2011 22:59:00,11.5.2011 6:00:00,0,1005,17,12,1,6,0,
58708,11.5.2011 19:39:00,11.5.2011 6:13:00,0,1005,17,23,1,7,0,
58709,11.5.2011 19:54:00,11.5.2011 19:42:00,0,1005,17,23,1,7,0,
58710,11.5.2011 6:27:00,11.5.2011 6:17:00,0,1005,11,20,1,8,0,
58711,11.5.2011 18:53:00,11.5.2011 6:28:00,0,1005,11,20,1,8,0,
58712,11.5.2011 19:08:00,11.5.2011 18:56:00,0,1005,11,20,1,8,0,
58713,11.5.2011 23:00:00,11.5.2011 6:01:00,0,1005,18,12,1,9,0,
58714,11.5.2011 6:21:00,11.5.2011 6:21:00,0,1005,18,12,1,10,0,
58715,11.5.2011 23:00:00,11.5.2011 6:22:00,0,1005,18,12,1,10,0,
58716,11.5.2011 22:55:00,11.5.2011 6:01:00,0,1005,18,12,1,11,0,
58717,11.5.2011 13:40:00,11.5.2011 13:40:00,0,1005,18,12,1,11,0,
58718,11.5.2011 6:31:00,11.5.2011 6:21:00,0,1005,11,15,1,12,0,
58719,11.5.2011 21:21:00,11.5.2011 6:32:00,0,1005,11,15,1,12,0,
58720,11.5.2011 21:36:00,11.5.2011 21:24:00,0,1005,11,15,1,12,0,
58721,11.5.2011 21:36:00,11.5.2011 6:10:00,0,1005,11,15,1,13,0,
58722,11.5.2011 21:51:00,11.5.2011 21:39:00,0,1005,11,15,1,13,0,
58723,11.5.2011 6:01:00,11.5.2011 6:00:00,0,1005,17,22,2,1,0,
58724,11.5.2011 19:41:00,11.5.2011 6:02:00,0,1005,17,22,2,1,0,
58725,11.5.2011 19:53:00,11.5.2011 19:43:00,0,1005,17,22,2,1,0,
58726,11.5.2011 14:04:00,11.5.2011 7:40:00,0,1005,17,11,2,2,0,
58727,11.5.2011 18:25:00,11.5.2011 7:53:00,0,1005,17,11,2,2,0,
58728,11.5.2011 18:38:00,11.5.2011 9:27:00,0,1005,17,11,2,2,0,
58729,11.5.2011 6:10:00,11.5.2011 6:00:00,0,1005,17,22,2,3,0,
58730,11.5.2011 17:49:00,11.5.2011 6:11:00,0,1005,17,22,2,3,0,
58731,11.5.2011 18:02:00,11.5.2011 17:51:00,0,1005,17,22,2,3,0,
58732,11.5.2011 13:36:00,11.5.2011 6:12:00,0,1005,17,11,2,4,0,
58733,11.5.2011 19:20:00,11.5.2011 6:24:00,0,1005,17,11,2,4,0,
58734,11.5.2011 19:32:00,11.5.2011 8:39:00,0,1005,17,11,2,4,0,
58735,11.5.2011 6:36:00,11.5.2011 6:25:00,0,1005,17,22,2,5,0,
58736,11.5.2011 20:00:00,11.5.2011 6:37:00,0,1005,17,22,2,5,0,
58737,11.5.2011 20:12:00,11.5.2011 20:02:00,0,1005,17,22,2,5,0,
58738,11.5.2011 19:23:00,11.5.2011 6:00:00,0,1005,13,21,3,1,0,
58739,11.5.2011 19:37:00,11.5.2011 19:25:00,0,1005,13,21,3,1,0,
58740,11.5.2011 22:59:00,11.5.2011 6:00:00,0,1005,14,12,3,2,0,
58741,11.5.2011 20:27:00,11.5.2011 6:00:00,0,1005,11,20,3,3,0,
58742,11.5.2011 20:28:00,11.5.2011 20:28:00,0,1005,11,20,3,3,0,
58743,11.5.2011 20:40:00,11.5.2011 6:07:00,0,1005,11,15,3,4,0,
58744,11.5.2011 20:41:00,11.5.2011 20:41:00,0,1005,11,15,3,4,0,
58745,11.5.2011 7:24:00,11.5.2011 7:24:00,0,1005,11,20,3,5,0,
58746,11.5.2011 20:55:00,11.5.2011 7:25:00,0,1005,11,20,3,5,0,
58747,11.5.2011 20:56:00,11.5.2011 20:56:00,0,1005,11,20,3,5,0,
58748,11.5.2011 20:05:00,11.5.2011 6:00:00,0,1005,13,23,3,6,0,
58749,11.5.2011 20:19:00,11.5.2011 20:07:00,0,1005,13,23,3,6,0,
58750,11.5.2011 20:07:00,11.5.2011 6:00:00,0,1005,13,21,3,7,0,
58751,11.5.2011 20:21:00,11.5.2011 9:14:00,0,1005,13,21,3,7,0,
58752,11.5.2011 13:47:00,11.5.2011 13:35:00,0,1005,13,21,3,7,0,
58753,11.5.2011 22:48:00,11.5.2011 6:00:00,0,1005,11,15,3,8,0,
58754,11.5.2011 18:40:00,11.5.2011 6:01:00,0,1005,11,20,3,9,0,
58755,11.5.2011 18:41:00,11.5.2011 18:41:00,0,1005,11,20,3,9,0,
58756,11.5.2011 12:31:00,11.5.2011 6:08:00,0,1005,13,21,3,10,0,
58757,11.5.2011 20:37:00,11.5.2011 6:21:00,0,1005,13,21,3,10,0,
58758,11.5.2011 20:51:00,11.5.2011 10:01:00,0,1005,13,21,3,10,0,
58759,11.5.2011 23:00:00,11.5.2011 6:01:00,0,1005,11,20,3,11,0,
58760,11.5.2011 21:53:00,11.5.2011 6:00:00,0,1005,11,15,3,12,0,
58761,11.5.2011 21:54:00,11.5.2011 21:54:00,0,1005,11,15,3,12,0,
58762,11.5.2011 20:55:00,11.5.2011 6:00:00,0,1005,13,14,3,13,0,
58763,11.5.2011 21:09:00,11.5.2011 20:57:00,0,1005,13,14,3,13,0,
58764,11.5.2011 6:46:00,11.5.2011 6:32:00,0,1005,14,12,3,14,0,
58765,11.5.2011 21:20:00,11.5.2011 6:49:00,0,1005,14,12,3,14,0,
58766,11.5.2011 21:37:00,11.5.2011 21:23:00,0,1005,14,12,3,14,0,
58767,11.5.2011 13:52:00,11.5.2011 6:11:00,0,1005,11,20,3,15,0,
58768,11.5.2011 19:29:00,11.5.2011 6:12:00,0,1005,11,20,3,15,0,
58769,11.5.2011 19:30:00,11.5.2011 9:05:00,0,1005,11,20,3,15,0,
